method,seed,mae_prop,rmse_prop,mae_raw,rmse_raw
als_bias_lambda5,20260734,0.0849438744190125,0.105078657512879,3.28176795580111,4.85707321552748
als_bias_lambda10,20260734,0.0864632114355871,0.105793813126927,3.33149171270718,4.91530477127056
als_bias_lambda20,20260734,0.089734718933614,0.109001827251072,3.46408839779006,5.10281040536969
paper_mean,20260735,0.0833210558624923,0.105848186516551,3.2707182320442,4.87523905066254
paper_median,20260735,0.083219766728054,0.10599532073606,3.27624309392265,4.88825404662129
same_subject,20260735,0.0712417784793475,0.0908938773283586,2.89502762430939,4.48939819269762
als_bias_lambda1,20260735,0.0884109444882926,0.108728508812474,3.26519337016575,4.958947491252
als_bias_lambda3,20260735,0.0863435060948873,0.106731683158424,3.24861878453039,4.85365955230935
als_bias_lambda5,20260735,0.0853043058844164,0.105899351210749,3.22099447513812,4.82225503747042
als_bias_lambda10,20260735,0.0840677891782864,0.105283369585537,3.20994475138122,4.80848697214893
als_bias_lambda20,20260735,0.0835411733754275,0.104475941696826,3.20994475138122,4.80503879173262
paper_mean,20260736,0.103157502411646,0.129944805382743,3.9171270718232,6.15948265029921
paper_median,20260736,0.102385337191967,0.128931647203875,3.91160220994475,6.17426489238403
same_subject,20260736,0.0755954573357888,0.0974661219845546,3.01104972375691,5.10497536533361
als_bias_lambda1,20260736,0.0997233184249759,0.123909069173669,3.95580110497238,6.01930595657797
als_bias_lambda3,20260736,0.0962935192493203,0.12144195797726,3.87292817679558,5.94867551069074
als_bias_lambda5,20260736,0.0957059545733579,0.120601588725833,3.85082872928177,5.95888305748801
als_bias_lambda10,20260736,0.0978102253792862,0.122915772032791,3.86187845303867,6.04449432146395
als_bias_lambda20,20260736,0.0970384986407086,0.123156224303315,3.83425414364641,6.03488935298423
paper_mean,20260737,0.0890559501885469,0.110230945775512,3.60220994475138,5.52042916099346
paper_median,20260737,0.0890099096728931,0.110281959717906,3.61325966850829,5.58312374197743
same_subject,20260737,0.0748724019994738,0.0939756060162066,2.9171270718232,4.59160896943292
als_bias_lambda1,20260737,0.0910593703411383,0.115169152754553,3.92265193370166,6.2454403256999
